"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"TMe-1915","TMe-1915","Dark green","Medium","Green purple","Central part","50-75% leaf retention","2","Cream","4","750-900","Dark green","Dark green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",4,2,2,1,4,2,6,3,1,38.4
"TMe-2","TMe-2","Light green","Long","Green purple","Central part","50-75% leaf retention","1","Cream","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",12,3,5.8,1.45,4.2,1.05,10,2.5,2,28
"TMe-4","TMe-4","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","1","Cream","0","No branching","Green","Green purple","5","Long (25-30cm)","Short","Absent","Tending toward horizontal",10,2,1.6,0.32,0.4,0.08,2,0.4,8,42.6
"TMe-6","TMe-6","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Dark green","Green purple","4","Medium (15-20cm)","Intermediate","Present","Irregular",8,2.66666666666667,0.8,0.266666666666667,0.2,0.0666666666666667,1,0.333333333333333,7,42.3
"TMe-11","TMe-11","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","2","White","3","150-300","Dark green","Green purple","3","Long (25-30cm)","Absent","Present","Tending toward horizontal",5,2.5,7.8,3.9,7.2,3.6,15,7.5,0,40
"TMe-12","TMe-12","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","1","White","1","150-300","Dark green","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",6,3,5.8,2.9,5.4,2.7,11.2,5.6,1,40
"TMe-13","TMe-13","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","1","Long (25-30cm)","Absent","Present","Tending toward horizontal",9,9,7,7,10,10,17,17,0,32
"TMe-14","TMe-14","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",9,3,6.4,2.13333333333333,10.2,3.4,16.6,5.53333333333333,0,31.2
"TMe-39","TMe-39","Light green","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Dark green","Light green","2","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",3,3,1.4,1.4,2,2,3.4,3.4,0,34
"TMe-41","TMe-41","Light green","Short","Light green","Absent","25-50% leaf retention","2","White","2","150-300","Dark green","Light green","5","Medium (15-20cm)","Intermediate","Present","Irregular",6,3,1.4,0.7,1,0.5,2.4,1.2,2,42
